date,time,code,partno,rating,hand,speed,error,trial,trialcode,realfake,lrswitch,fingerswitch,letterfreq,length,rha
42413,9:56,654,424130.4139,5,right,45,97,2vape,vape,fake,2,3,5.944,4,-2
42413,9:56,654,424130.4139,5,right,45,97,6dlip,dlip,fake,1,3,4.29325,4,2
42413,9:56,654,424130.4139,1,right,45,97,21fear,fear,real,0,3,7.271,4,-4
42413,9:56,654,424130.4139,9,right,45,97,18song,song,real,2,3,5.6495,4,0
42413,9:56,654,424130.4139,9,right,45,97,22lip,lip,real,0,2,4.306666667,3,3
42413,9:56,654,424130.4139,5,right,45,97,4melb,melb,fake,3,3,5.15625,4,0
42413,9:56,654,424130.4139,5,right,45,97,24nuad,nuad,fake,1,2,5.48175,4,0
42413,9:56,654,424130.4139,9,right,45,97,10hil,hil,fake,0,2,5.695,3,3
42413,9:56,654,424130.4139,5,right,45,97,22jip,jip,real,0,2,3.016,3,3
42413,9:56,654,424130.4139,5,right,45,97,5anay,anay,fake,3,3,6.26425,4,0
42413,9:56,654,424130.4139,1,right,45,97,12lust,lust,real,1,3,5.5415,4,0
42413,9:56,654,424130.4139,5,right,45,97,8tez,tez,fake,0,2,7.277333333,3,-3
42413,9:56,654,424130.4139,5,right,45,97,5yame,yame,fake,3,3,6.31225,4,0
42413,9:56,654,424130.4139,9,right,45,97,17name,name,real,3,3,7.506,4,0
42413,9:56,654,424130.4139,9,right,45,97,14dawn,dawn,real,1,3,5.38225,4,-2
42413,9:56,654,424130.4139,9,right,45,97,19sun,sun,real,1,1,5.278,3,1
42413,9:56,654,424130.4139,9,right,45,97,14arm,arm,real,1,2,5.52,3,-1
42413,9:56,654,424130.4139,1,right,45,97,1pobe,pobe,fake,1,3,5.9075,4,0
42413,9:56,654,424130.4139,8,right,45,97,16fish,fish,real,3,3,5.40375,4,0
42413,9:56,654,424130.4139,9,right,45,97,12lids,lids,real,1,3,5.39275,4,0
42413,9:56,654,424130.4139,9,right,45,97,20zest,zest,real,0,3,7.03975,4,-4
42413,9:56,654,424130.4139,5,right,45,97,24celm,celm,fake,1,2,5.47875,4,0
42413,9:56,654,424130.4139,1,right,45,97,22yip,yip,real,0,2,3.623,3,3
42413,9:56,654,424130.4139,9,right,45,97,23noon,noon,real,0,2,7.128,4,4
42413,9:56,654,424130.4139,9,right,45,97,13cell,cell,real,1,1,5.8835,4,0
42413,9:56,654,424130.4139,9,right,45,97,16air,air,real,2,2,7.04,3,-1
42413,9:56,654,424130.4139,5,right,45,97,9veed,veed,fake,0,1,7.65875,4,-4
42413,9:56,654,424130.4139,9,right,45,97,14wife,wife,real,2,3,6.064,4,-2
42413,9:56,654,424130.4139,9,right,45,97,8waf,waf,fake,0,2,4.251666667,3,-3
42413,9:56,654,424130.4139,9,right,45,97,10lim,lim,fake,0,2,4.465666667,3,3
42413,9:56,654,424130.4139,1,right,45,97,12liar,liar,real,1,3,6.28625,4,0
42413,9:56,654,424130.4139,9,right,45,97,21bed,bed,real,0,1,6.149,3,-3
42413,9:56,654,424130.4139,9,right,45,97,21star,star,real,0,3,7.38425,4,-4
42413,9:56,654,424130.4139,5,right,45,97,6clim,clim,fake,1,3,4.04475,4,2
42413,9:56,654,424130.4139,5,right,45,97,4alfi,alfi,fake,3,3,5.3465,4,0
42413,9:56,654,424130.4139,1,right,45,97,21fat,fat,real,0,2,6.483666667,3,-3
42413,11:00,451,424130.4583,5,right,55,92,5yane,yane,fake,3,3,7.398,4,0
42413,11:00,451,424130.4583,7,right,55,92,13army,army,real,1,2,4.6335,4,0
42413,11:00,451,424130.4583,6,right,55,92,9beeg,beeg,fake,0,2,7.22775,4,-4
42413,11:00,451,424130.4583,5,right,55,92,23lion,lion,real,0,3,6.31175,4,4
42413,11:00,451,424130.4583,4,right,55,92,8taxe,taxe,fake,0,3,7.51875,4,-4
42413,11:00,451,424130.4583,7,right,55,92,14pest,pest,real,1,3,7.5035,4,-2
42413,11:00,451,424130.4583,6,right,55,92,18sour,sour,real,2,3,5.64475,4,0
42413,11:00,451,424130.4583,9,right,55,92,5jame,jame,fake,3,3,5.857,4,0
42413,11:00,451,424130.4583,6,right,55,92,19ugly,ugly,real,2,3,2.693,4,2
42413,11:00,451,424130.4583,9,right,55,92,23mom,mom,real,0,2,4.106333333,3,3
42413,11:00,451,424130.4583,9,right,55,92,16lake,lake,real,3,3,6.4165,4,0
42413,11:00,451,424130.4583,7,right,55,92,21bees,bees,real,0,2,8.30575,4,-4
42413,11:00,451,424130.4583,4,right,55,92,22nip,nip,real,0,2,5.214666667,3,3
42413,11:00,451,424130.4583,5,right,55,92,10nop,nop,fake,0,2,5.395,3,3
42413,11:00,451,424130.4583,8,right,55,92,18blue,blue,real,2,3,5.24425,4,0
42413,11:00,451,424130.4583,8,right,55,92,19cold,cold,real,2,2,4.64175,4,0
42413,11:00,451,424130.4583,1,right,55,92,13lice,lice,real,1,2,6.61875,4,0
42413,11:00,451,424130.4583,2,right,55,92,8dax,dax,fake,0,2,4.19,3,-3
42413,11:00,451,424130.4583,5,right,55,92,10plin,plin,fake,0,3,4.91725,4,4
42413,11:00,451,424130.4583,3,right,55,92,23lump,lump,real,0,2,2.7795,4,4
42413,11:00,451,424130.4583,8,right,55,92,18win,win,real,1,2,5.358333333,3,1
42413,11:00,451,424130.4583,5,right,55,92,2jabe,jabe,fake,1,3,5.6285,4,-2
42413,11:00,451,424130.4583,6,right,55,92,1yofe,yofe,fake,1,3,6.10275,4,0
42413,11:00,451,424130.4583,5,right,55,92,7soob,soob,fake,2,2,5.70825,4,0
42413,11:00,451,424130.4583,5,right,55,92,16slap,slap,real,3,3,5.112,4,0
42413,11:00,451,424130.4583,5,right,55,92,1nobe,nobe,fake,1,3,7.1125,4,0
42413,11:00,451,424130.4583,5,right,55,92,15frog,frog,real,2,2,4.43425,4,-2
42413,11:00,451,424130.4583,5,right,55,92,12more,more,real,1,3,7.1505,4,0
42413,11:00,451,424130.4583,6,right,55,92,13hide,hide,real,1,2,7.50375,4,0
42413,11:00,451,424130.4583,5,right,55,92,4peka,peka,fake,3,3,5.8925,4,0
42413,11:00,451,424130.4583,6,right,55,92,20scar,scar,real,0,3,5.81575,4,-4
42413,11:00,451,424130.4583,7,right,55,92,16cow,cow,real,2,2,4.216333333,3,-1
42413,11:00,451,424130.4583,5,right,55,92,4pems,pems,fake,3,3,5.841,4,0
