word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
bum,3.64,1,1,1,3,2.218666667,-2.056199305,-4.521364426,2.083357474
bun,5.47,1,1,1,3,3.666333333,-2.056199305,-4.521364426,2.083357474
buy,6.82,1,1,1,3,2.074666667,-2.056199305,-4.521364426,2.083357474
com,5.76,1,2,1,3,4.231666667,-2.056199305,-3.521364426,2.083357474
con,3.21,1,2,1,3,5.679333333,-2.056199305,-3.521364426,2.083357474
coo,5.9,1,1,1,3,5.932,-2.056199305,-4.521364426,2.083357474
cop,4.5,1,2,1,3,4.072666667,-2.056199305,-3.521364426,2.083357474
coy,5.5,1,2,1,3,4.087666667,-2.056199305,-3.521364426,2.083357474
cup,5.94,1,2,1,3,2.489666667,-2.056199305,-3.521364426,2.083357474
dim,3.37,1,2,1,3,4.541666667,-2.056199305,-3.521364426,2.083357474
dip,5.42,1,2,1,3,4.382666667,-2.056199305,-3.521364426,2.083357474
duh,4.5,1,1,1,3,4.368333333,-2.056199305,-4.521364426,2.083357474
duo,6.45,1,2,1,3,4.839333333,-2.056199305,-3.521364426,2.083357474
elk,5.81,1,2,1,3,5.833,-2.056199305,-3.521364426,2.083357474
elm,6.32,1,2,1,3,6.377666667,-2.056199305,-3.521364426,2.083357474
emu,5.45,1,1,1,3,5.955333333,-2.056199305,-4.521364426,2.083357474
fin,5.27,1,2,1,3,5.314333333,-2.056199305,-3.521364426,2.083357474
flu,2.58,1,2,1,3,3.003666667,-2.056199305,-3.521364426,2.083357474
fly,6.06,1,2,1,3,2.742333333,-2.056199305,-3.521364426,2.083357474
fun,8.37,1,1,1,3,3.911666667,-2.056199305,-4.521364426,2.083357474
gin,5.82,1,2,1,3,5.243333333,-2.056199305,-3.521364426,2.083357474
goo,4.68,1,1,1,3,5.676333333,-2.056199305,-4.521364426,2.083357474
gum,5.89,1,1,1,3,2.393,-2.056199305,-4.521364426,2.083357474
gun,3.66,1,1,1,3,3.840666667,-2.056199305,-4.521364426,2.083357474
guy,6.55,1,1,1,3,2.249,-2.056199305,-4.521364426,2.083357474
gym,5.84,1,1,1,3,2.131666667,-2.056199305,-4.521364426,2.083357474
rim,4.6,1,2,1,3,5.119666667,-2.056199305,-3.521364426,2.083357474
rip,3.28,1,2,1,3,4.960666667,-2.056199305,-3.521364426,2.083357474
rum,5.57,1,1,1,3,3.717,-2.056199305,-4.521364426,2.083357474
