word,happiness_average,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
airport,5.88,4,5,-1,7,6.514142857,1.484160613,0.379237288,0.126109766
aiyyo,4.89,1,3,3,5,5.3176,-1.515839387,-1.620762712,4.126109766
aja,4.78,2,2,-1,3,5.495666667,-0.515839387,-2.620762712,0.126109766
ak,4.8,1,1,0,2,4.4695,-1.515839387,-3.620762712,1.126109766
aka,4.94,2,2,-1,3,5.702,-0.515839387,-2.620762712,0.126109766
aku,4.96,1,2,1,3,3.899,-1.515839387,-2.620762712,2.126109766
al,4.9,1,1,0,2,6.096,-1.515839387,-3.620762712,1.126109766
alabama,5.48,4,6,-3,7,5.798714286,1.484160613,1.379237288,-1.873890234
alan,4.96,3,3,0,4,6.777,0.484160613,-1.620762712,1.126109766
alarm,3.9,3,4,-1,5,5.7504,0.484160613,-0.620762712,0.126109766
alaska,5.64,4,5,-2,6,5.9375,1.484160613,0.379237288,-0.873890234
albany,5.08,3,4,0,6,5.095666667,0.484160613,-0.620762712,1.126109766
albert,5.1,2,4,-4,6,6.904833333,-0.515839387,-0.620762712,-2.873890234
album,6.6,3,3,1,5,3.7696,0.484160613,-1.620762712,2.126109766
albums,6.92,4,4,0,6,4.195833333,1.484160613,-0.620762712,1.126109766
alcohol,5.2,3,5,3,7,5.729571429,0.484160613,0.379237288,4.126109766
alert,5.28,2,3,-3,5,7.9874,-0.515839387,-1.620762712,-1.873890234
alex,5.46,2,3,-2,4,6.261,-0.515839387,-1.620762712,-0.873890234
alexander,5.72,4,7,-5,9,6.989111111,1.484160613,2.379237288,-3.873890234
alexandra,5.66,4,8,-5,9,6.485222222,1.484160613,3.379237288,-3.873890234
alfred,5.08,2,3,-4,6,6.227,-0.515839387,-1.620762712,-2.873890234
algo,4.96,3,3,0,4,5.4285,0.484160613,-1.620762712,1.126109766
alguien,5,5,6,1,7,6.197428571,2.484160613,1.379237288,2.126109766
ali,5.22,1,2,1,3,6.386,-1.515839387,-2.620762712,2.126109766
alibi,4.94,3,4,1,5,5.5232,0.484160613,-0.620762712,2.126109766
alice,5.52,2,3,-1,5,6.9284,-0.515839387,-1.620762712,0.126109766
alicia,5.52,4,5,0,6,6.178833333,1.484160613,0.379237288,1.126109766
alien,4.72,3,4,1,5,7.7218,0.484160613,-0.620762712,2.126109766
alike,5.9,2,3,1,5,6.5264,-0.515839387,-1.620762712,2.126109766
alison,5.4,3,5,2,6,6.6235,0.484160613,0.379237288,3.126109766
alive,7.18,2,4,-1,5,6.5676,-0.515839387,-0.620762712,0.126109766
all,6.22,1,1,1,3,5.405666667,-1.515839387,-3.620762712,2.126109766
alla,4.92,2,2,0,4,6.096,-0.515839387,-2.620762712,1.126109766
allan,5.18,3,3,1,5,6.2266,0.484160613,-1.620762712,2.126109766
alle,5.02,2,2,0,4,7.22975,-0.515839387,-2.620762712,1.126109766
alleen,5.1,3,3,0,6,8.061666667,0.484160613,-1.620762712,1.126109766
allegations,3.84,4,9,-1,11,6.882363636,1.484160613,4.379237288,0.126109766
