Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
item,5.26,2,3,0,4,7.7825,-0.517408124,-1.52417795,1.111218569
lawn,5.24,2,3,0,4,5.32525,-0.517408124,-1.52417795,1.111218569
obey,4.52,2,3,0,4,5.91875,-0.517408124,-1.52417795,1.111218569
lazy,4.38,2,2,0,4,3.56,-0.517408124,-2.52417795,1.111218569
meek,3.87,2,2,0,4,7.1455,-0.517408124,-2.52417795,1.111218569
lake,6.82,3,3,0,4,6.4165,0.482591876,-1.52417795,1.111218569
hand,5.95,3,3,0,4,6.31575,0.482591876,-1.52417795,1.111218569
lamb,5.89,3,3,0,4,4.0225,0.482591876,-1.52417795,1.111218569
name,5.55,3,3,0,4,7.506,0.482591876,-1.52417795,1.111218569
mail,6.88,2,3,2,4,5.391,-0.517408124,-1.52417795,3.111218569
idol,6.12,2,2,2,4,5.68775,-0.517408124,-2.52417795,3.111218569
lamp,5.41,2,3,2,4,4.13175,-0.517408124,-1.52417795,3.111218569
iron,4.9,2,3,2,4,6.80225,-0.517408124,-1.52417795,3.111218569
ugly,2.43,2,3,2,4,2.693,-0.517408124,-1.52417795,3.111218569
hell,2.24,2,2,2,4,6.7115,-0.517408124,-2.52417795,3.111218569
pain,2.13,2,3,2,4,5.95275,-0.517408124,-1.52417795,3.111218569
jail,1.95,2,3,2,4,4.82775,-0.517408124,-1.52417795,3.111218569
love,8.72,1,2,0,4,6.303,-1.517408124,-2.52417795,1.111218569
kiss,8.26,1,1,0,4,5.098,-1.517408124,-3.52417795,1.111218569
life,7.27,1,3,0,4,6.48025,-1.517408124,-1.52417795,1.111218569
lust,7.12,1,3,0,4,5.5415,-1.517408124,-1.52417795,1.111218569
kids,6.91,1,2,0,4,4.5795,-1.517408124,-2.52417795,1.111218569
nude,6.82,1,1,0,4,6.6155,-1.517408124,-3.52417795,1.111218569
nice,6.55,1,2,0,4,7.29975,-1.517408124,-2.52417795,1.111218569
hide,4.32,1,2,0,4,7.50375,-1.517408124,-2.52417795,1.111218569
lost,2.82,1,2,0,4,6.72875,-1.517408124,-2.52417795,1.111218569
lice,2.31,1,2,0,4,6.61875,-1.517408124,-2.52417795,1.111218569
hurt,1.9,1,1,0,4,5.97375,-1.517408124,-3.52417795,1.111218569
kick,4.31,2,2,2,4,2.823,-0.517408124,-2.52417795,3.111218569
pity,3.37,2,3,2,4,4.98125,-0.517408124,-1.52417795,3.111218569
joke,8.1,1,3,2,4,5.2835,-1.517408124,-1.52417795,3.111218569
home,7.91,1,3,2,4,7.17725,-1.517408124,-1.52417795,3.111218569
kind,7.59,1,2,2,4,4.685,-1.517408124,-2.52417795,3.111218569
king,7.26,1,2,2,4,4.1255,-1.517408124,-2.52417795,3.111218569
hope,7.05,1,3,2,4,7.058,-1.517408124,-1.52417795,3.111218569
mind,6.68,1,3,2,4,5.0935,-1.517408124,-1.52417795,3.111218569
unit,5.59,1,2,2,4,6.38225,-1.517408124,-2.52417795,3.111218569
knot,4.64,1,3,2,4,6.021,-1.517408124,-1.52417795,3.111218569
mold,3.55,1,2,2,4,4.54775,-1.517408124,-2.52417795,3.111218569
milk,5.95,0,3,4,4,3.54225,-2.517408124,-1.52417795,5.111218569
lion,5.57,0,3,4,4,6.31175,-2.517408124,-1.52417795,5.111218569
